flood_risk_3yr,weather_forecast_risk,aqi_forecast,strike_frequency,avg_weekly_earnings,tenure_weeks,past_claims_count,premium_target
23.71,17.83,92.94,0.12,3746.95,71,4,42.03
86.94,62.2,75.89,1.45,7941.83,43,5,55.24
39.14,65.5,26.67,3.04,6331.44,93,10,52.17
99.91,73.01,95.62,2.54,7351.53,87,8,64.31
19.51,84.66,51.5,2.9,7834.08,71,0,55.9
76.09,5.31,60.25,0.19,6062.68,62,14,44.2
87.74,4.5,7.35,1.04,6279.47,100,9,45.82
84.03,66.03,40.57,2.37,6460.67,104,14,64.93
35.44,44.87,99.87,2.23,5442.11,89,5,57.73
34.33,21.82,61.44,4.55,4345.63,21,3,54.96
40.53,55.47,97.79,3.16,7291.15,44,0,58.48
95.08,14.24,18.48,2.77,6794.25,78,2,52.38
39.66,71.17,43.75,3.57,4047.03,21,15,58.99
34.05,29.69,51.8,3.17,4548.7,45,14,54.39
90.59,66.46,95.9,4.94,3199.13,85,3,66.28
36.18,37.38,65.81,3.9,6537.75,91,5,54.46
84.12,70.8,58.42,2.21,7075.36,81,1,56.92
23.12,83.06,67.64,0.64,6488.2,40,13,46.86
58.89,54.28,33.55,1.82,7908.16,100,6,53.86
68.34,33.87,86.31,0.74,5981.38,72,13,47.54
77.16,78.82,10.55,0.38,7219.31,75,7,46.65
20.01,0.38,23.93,2.51,4618.35,67,4,40.55
37.7,79.14,86.88,0.74,4448.33,47,8,44.2
94.99,60.41,33.73,2.7,5353.3,44,14,64.4
50.35,60.51,30.03,4.96,6433.93,46,9,62.34
77.97,20.97,67.15,3.34,5739.6,82,11,57.88
26.51,23.23,10.44,1.46,5389.81,4,15,45.12
1.0,27.4,76.79,3.13,5709.72,42,3,46.69
48.33,45.26,29.71,0.86,7072.04,17,8,51.78
9.66,69.9,25.24,2.62,7359.26,22,11,47.76
17.23,99.44,47.86,2.65,3358.99,78,12,56.05
71.3,41.51,60.18,1.26,3483.69,85,2,49.27
34.09,36.91,9.12,2.8,6719.11,53,11,49.54
31.81,32.91,30.47,3.07,3740.14,93,15,52.97
95.9,84.21,88.6,4.81,4144.95,2,1,74.05
92.82,45.16,6.65,1.59,6965.97,59,4,51.18
39.07,2.96,71.32,0.72,3312.17,84,1,42.98
66.13,56.75,82.59,0.07,5455.24,66,4,46.43
61.92,67.89,46.31,2.73,3752.88,89,13,54.57
65.99,21.78,90.76,3.73,5064.1,45,11,62.66
46.11,0.21,43.44,1.66,6433.57,26,6,44.22
62.96,52.0,71.02,4.12,7560.91,88,4,60.94
52.26,62.83,3.58,1.09,6198.14,7,3,45.54
62.38,77.08,94.03,3.66,3687.8,16,0,66.74
51.0,97.54,41.92,4.4,4186.94,86,13,63.92
83.28,52.43,1.82,3.73,6889.53,82,2,62.39
3.16,72.76,76.63,3.16,7434.45,16,13,57.23
69.25,99.17,2.08,1.92,6911.98,34,10,58.66
50.24,22.55,61.22,4.5,6100.79,1,0,58.33
58.55,86.31,17.22,4.43,6924.28,93,7,65.83
22.17,98.62,90.78,1.65,5678.55,57,2,50.57
40.1,42.03,79.51,1.76,4819.03,39,8,47.58
45.12,53.17,39.03,1.16,6900.18,40,0,47.45
14.12,52.81,38.75,2.28,4567.3,42,10,49.09
99.31,43.71,22.81,0.01,3826.54,54,4,44.66
15.96,97.93,95.5,4.34,3279.16,28,11,60.88
2.61,83.78,32.24,0.79,5006.38,69,5,40.68
66.43,46.34,35.18,1.35,6226.21,66,3,49.51
20.17,78.22,13.97,2.48,3745.64,92,3,45.56
55.54,45.26,69.35,0.04,7310.84,33,14,48.46
20.45,46.13,60.44,2.01,5213.49,59,3,45.76
38.32,66.37,34.9,2.84,7048.07,42,11,50.46
10.4,56.19,54.74,4.88,7173.41,62,9,60.15
70.85,83.15,21.99,2.78,3946.0,71,13,59.75
31.96,44.64,86.5,1.92,6674.02,59,11,50.73
89.0,13.4,49.62,2.0,7832.5,20,0,53.62
47.42,89.12,56.54,2.49,6529.03,41,14,57.89
85.59,76.5,58.64,0.33,3061.78,43,15,48.03
17.84,71.9,5.71,1.74,4823.3,97,10,45.78
98.26,57.0,43.18,3.82,7992.18,21,5,64.97
14.42,57.75,55.12,4.57,7406.94,88,6,58.04
27.43,71.18,87.09,1.01,5582.93,80,11,51.05
50.51,90.67,64.18,1.28,6055.96,85,6,53.58
34.54,39.8,75.87,3.74,6669.58,69,8,55.44
98.14,55.07,68.87,2.45,6203.82,66,10,59.93
54.04,70.92,75.52,0.85,7026.1,51,8,52.27
48.47,7.61,26.7,0.46,5537.17,0,6,47.16
58.62,45.59,67.29,2.58,6357.67,16,2,60.59
63.17,91.08,75.85,4.36,3606.88,77,11,69.78
40.04,5.68,23.63,4.41,4726.35,7,8,58.78
49.64,61.45,21.11,0.98,5854.21,67,7,44.56
77.03,86.41,42.06,0.11,4928.23,54,9,51.86
30.48,22.99,2.78,2.21,5830.54,5,6,50.05
22.45,61.56,10.99,1.67,7257.34,38,15,45.18
27.43,70.16,3.28,2.98,4121.03,5,0,51.6
55.36,95.11,3.17,3.55,3048.75,54,12,60.71
18.93,66.58,91.68,2.55,3623.07,43,10,54.49
46.68,70.36,48.07,0.19,7648.34,100,5,47.23
12.73,97.13,93.9,3.19,6440.42,37,15,58.1
76.35,30.7,24.24,3.0,7782.45,43,13,56.95
14.51,18.01,48.81,2.56,6841.52,66,6,48.86
27.79,80.85,86.47,1.54,6386.46,100,9,50.68
90.77,50.21,66.46,1.43,3279.31,24,0,54.39
4.13,11.43,87.85,2.44,7234.13,98,8,45.44
3.46,46.66,83.93,0.49,4358.29,63,11,40.57
70.38,56.24,94.29,4.39,6804.73,80,7,70.7
81.9,19.27,75.9,1.63,7656.48,51,11,51.51
60.02,33.96,15.07,1.16,4654.64,98,15,50.54
64.3,58.58,76.43,2.89,4060.49,46,8,59.75
18.1,8.63,46.27,2.85,3265.15,74,10,50.03
13.63,59.61,8.07,4.12,4400.56,74,14,52.92
65.19,83.42,55.36,2.44,4900.97,75,2,55.74
73.96,59.84,62.88,2.56,4132.51,57,5,60.2
21.3,47.49,6.58,1.65,3661.43,32,0,39.45
58.95,73.58,69.41,0.73,4157.44,34,12,50.43
47.94,82.59,88.25,3.09,5246.85,10,2,63.17
62.14,59.45,48.3,2.39,5692.07,61,7,56.14
16.14,83.94,38.19,3.87,4220.62,30,2,53.75
42.54,92.04,25.27,4.14,7587.43,33,2,65.6
59.93,94.88,50.61,2.74,4567.87,35,12,59.74
3.66,55.37,31.22,0.7,7425.22,66,9,39.59
62.63,99.54,83.37,3.98,4946.43,41,14,64.94
86.01,64.58,68.99,0.88,3527.27,0,8,54.0
83.27,38.34,14.19,0.12,3100.35,59,2,45.33
85.67,22.46,64.27,3.3,4775.75,39,10,59.11
24.03,91.4,78.13,0.59,3656.67,39,4,44.14
27.71,42.25,10.19,1.52,6547.32,27,6,40.37
28.61,12.35,87.77,0.73,5657.7,43,7,42.22
61.02,75.64,49.55,4.96,3457.22,65,3,68.79
6.99,40.61,83.25,2.88,7325.89,44,13,55.48
1.52,21.31,58.15,2.55,6549.09,9,4,50.16
61.91,54.5,26.3,0.66,6963.26,21,14,51.25
27.32,33.62,4.42,2.89,5740.11,20,13,55.26
59.36,48.08,45.3,2.63,3705.76,80,9,53.33
96.82,35.58,46.24,0.82,4747.62,10,0,52.37
51.09,57.85,32.02,3.04,3321.55,20,12,61.21
0.06,15.07,80.6,2.82,7160.56,60,7,47.02
65.81,79.1,1.4,4.11,5585.56,60,11,63.02
16.95,42.79,78.48,1.15,3275.3,15,8,49.73
5.01,1.31,31.37,4.77,7952.47,15,0,56.09
19.98,23.82,2.78,2.36,6853.34,66,1,41.87
89.68,86.63,1.46,4.48,6651.47,68,11,66.18
80.62,29.08,6.61,2.85,4618.37,76,14,53.16
58.93,79.84,70.55,2.31,6992.25,44,13,56.54
90.97,11.09,29.07,2.74,5716.62,71,5,57.44
49.93,38.99,15.85,0.58,3827.88,93,8,41.43
32.61,20.47,44.87,0.31,7068.09,53,9,41.67
84.35,64.84,33.22,3.58,6025.85,95,1,63.85
45.46,1.61,2.28,4.86,3514.58,48,8,51.81
83.47,92.23,10.17,0.59,5240.48,74,0,47.06
61.73,31.22,26.3,3.79,3855.37,1,4,58.96
36.68,99.61,53.9,0.38,6277.74,14,9,48.78
16.25,57.25,17.45,1.89,7670.85,3,9,50.99
30.49,23.08,33.01,1.88,6169.18,25,11,52.05
72.38,8.37,20.64,1.7,7460.33,66,8,51.6
80.93,37.71,4.29,4.84,3120.83,102,11,61.78
53.28,78.33,76.47,4.78,3175.7,62,0,62.13
85.99,12.85,91.8,1.88,7393.79,69,4,54.3
8.56,38.94,75.53,4.05,3871.34,7,11,57.62
62.1,33.81,72.49,4.26,6431.61,6,5,67.06
79.45,61.37,12.89,2.54,5771.53,25,0,50.53
93.35,98.03,24.56,0.35,6890.35,101,11,56.27
60.15,4.68,0.37,0.07,7734.28,53,8,41.29
51.29,78.85,27.57,1.04,3320.7,14,9,49.23
79.84,43.53,60.12,3.21,4052.75,51,4,55.41
51.25,84.45,20.4,3.21,3324.56,16,10,58.98
32.87,57.95,18.28,3.69,3717.78,68,15,53.2
99.12,2.75,8.49,4.62,3010.66,68,15,63.48
67.78,13.33,18.66,0.1,4479.98,58,12,45.62
75.22,22.11,90.86,4.31,6009.46,37,1,65.36
6.18,70.71,9.35,2.05,3677.99,63,10,43.06
17.51,89.5,49.27,1.46,6829.92,30,10,49.48
83.34,6.23,26.87,1.65,6746.93,2,11,51.32
15.83,90.56,19.18,1.65,4283.27,48,9,49.75
54.15,97.53,2.32,3.38,6939.35,34,2,54.97
65.56,74.14,73.31,0.26,5805.84,13,9,52.24
36.69,74.76,8.19,3.36,4628.84,10,13,55.2
13.52,79.92,30.45,3.13,7326.61,104,1,47.46
26.49,86.08,62.55,2.35,5002.7,45,4,49.23
82.8,77.74,75.59,2.78,6668.07,48,8,62.88
27.9,97.08,57.45,0.4,7556.57,89,3,45.39
57.55,93.41,14.15,4.76,4623.78,46,15,64.09
62.93,51.11,93.51,3.18,4599.48,46,11,65.33
37.3,90.45,22.85,2.27,5942.49,102,9,49.76
15.21,72.2,36.47,0.05,3824.32,15,12,39.37
67.05,34.51,20.85,2.45,3923.25,8,9,54.16
61.16,43.36,31.25,0.3,3603.37,54,1,41.14
67.3,60.54,3.09,4.54,4585.09,33,7,63.77
82.87,17.98,3.73,4.64,4353.22,60,6,57.63
84.3,31.65,98.4,3.13,4629.31,4,12,66.55
65.75,44.36,89.2,2.0,6005.15,87,12,54.32
74.85,11.55,94.05,3.15,3628.34,54,4,62.47
73.26,16.73,53.19,1.84,7113.93,33,4,54.44
6.35,22.52,62.95,0.92,7495.48,44,13,44.78
62.43,33.99,63.12,0.39,4996.04,47,6,48.49
46.66,71.04,20.43,4.87,5217.61,7,2,62.96
45.69,1.93,76.84,0.15,6890.33,36,3,42.05
77.49,2.37,50.94,0.33,5993.48,2,2,48.85
15.4,52.35,39.67,1.68,5241.19,29,9,46.77
14.73,93.53,63.48,3.1,3939.39,2,0,53.85
14.77,28.41,58.81,0.77,3599.68,6,8,38.58
79.32,38.19,96.67,1.76,7329.2,74,12,56.16
35.58,8.05,3.93,4.15,3651.39,56,9,52.86
16.06,91.8,56.54,1.87,6460.31,4,2,52.53
55.5,73.37,19.78,4.51,6660.5,31,3,65.04
87.07,4.48,36.67,1.84,7861.57,62,13,52.11
10.95,11.06,6.75,1.56,3875.23,29,11,38.66
58.5,90.35,55.57,3.07,6040.49,60,4,53.92
81.26,74.17,69.11,0.78,5591.94,54,4,50.15
62.56,3.19,39.79,1.47,4397.05,24,5,45.97
59.88,16.01,65.54,3.45,7290.28,64,6,57.98
91.32,40.54,25.71,1.86,5190.51,45,11,54.87
66.26,4.85,74.06,2.02,5579.57,39,13,51.66
19.2,75.72,3.95,4.44,6995.99,0,3,59.04
86.61,83.47,36.33,4.3,3808.6,45,10,70.93
81.24,81.7,43.52,4.69,4741.58,28,15,67.77
78.87,56.72,77.55,4.99,7608.6,45,8,67.31
2.78,81.22,80.51,4.16,5603.3,48,7,54.8
94.72,44.51,88.05,4.14,7011.9,14,9,69.95
58.45,98.01,64.2,0.43,3709.25,62,10,52.86
19.78,80.72,75.06,2.68,7162.47,20,1,55.72
80.3,33.11,83.72,3.11,5068.32,65,13,61.91
77.4,88.07,97.05,0.87,3538.08,36,4,54.25
33.39,24.25,83.36,4.61,5356.98,79,9,61.97
18.6,49.28,56.13,0.6,4995.57,16,6,43.02
5.56,84.7,42.79,3.72,3385.15,64,1,52.9
72.43,30.7,53.62,1.37,4148.66,58,2,49.7
22.66,46.05,75.71,3.28,6188.15,82,12,52.84
69.18,25.05,68.11,0.24,5651.4,53,6,51.83
58.04,53.93,6.14,4.41,7288.97,52,4,57.3
72.99,86.09,38.82,5.0,5765.79,69,3,65.69
61.05,95.11,62.07,1.88,6148.66,79,11,58.81
30.92,79.38,99.35,2.68,4210.09,11,3,52.24
68.62,88.61,5.63,1.74,3610.19,65,7,49.83
15.47,79.95,66.13,1.74,7944.71,30,3,53.03
88.9,41.26,43.66,4.18,4603.06,102,10,61.76
9.92,91.57,93.43,3.64,5826.96,18,3,63.39
91.24,36.24,72.82,2.31,4965.27,69,14,62.98
97.38,3.56,67.68,3.14,6532.62,87,15,59.17
22.73,57.49,65.55,0.3,3743.61,94,8,40.16
35.09,6.79,33.85,3.36,3799.87,42,1,50.9
99.19,38.89,93.7,4.08,5756.85,41,0,63.64
11.82,12.42,18.65,0.77,7167.05,59,11,39.7
22.77,80.57,67.97,4.16,3168.88,41,4,58.83
21.3,9.56,3.54,0.59,4084.85,54,13,35.89
81.43,29.68,78.58,3.19,3358.49,101,5,63.43
13.6,17.71,97.55,2.92,3260.81,73,13,52.14
15.46,28.25,22.91,1.84,6407.54,88,9,43.67
39.19,73.44,84.61,1.32,6926.97,73,7,51.98
30.35,46.33,35.25,4.74,4423.46,92,8,57.84
24.68,21.32,23.63,4.34,6607.57,60,2,54.57
40.99,79.96,24.05,0.57,6939.46,12,10,45.51
32.53,8.09,18.15,4.42,6289.65,81,1,52.98
66.55,81.42,41.15,3.62,7077.46,6,11,68.28
53.52,25.43,94.69,4.28,7516.58,72,11,62.22
47.59,44.41,78.92,1.43,7519.56,100,10,50.05
80.54,66.59,85.47,0.18,3178.34,49,9,51.27
84.49,2.56,22.05,1.53,7403.13,47,3,44.12
19.44,63.69,18.93,3.31,4605.6,48,10,53.53
71.53,23.52,86.57,0.57,5812.13,64,13,49.28
84.24,8.57,73.11,2.38,4550.37,14,1,60.4
93.65,17.69,98.68,1.92,5794.48,67,12,60.98
53.0,50.59,15.99,1.71,5165.58,45,3,44.76
48.67,39.89,71.67,1.85,3314.46,69,6,47.65
75.58,93.1,7.51,1.56,6506.58,66,9,53.39
35.16,23.0,53.8,0.37,6895.41,57,11,42.36
33.28,50.58,97.3,1.58,7372.86,60,13,53.85
41.49,78.0,89.87,0.49,4673.74,2,7,48.62
41.88,31.72,52.98,1.82,3392.8,45,5,47.0
6.54,47.75,13.29,1.31,4403.46,72,11,41.46
2.05,26.06,76.63,2.28,4706.89,45,5,40.07
23.19,69.96,87.17,1.19,5094.01,90,12,48.55
29.93,79.36,77.51,4.57,5680.4,57,2,62.6
57.54,7.92,24.76,0.63,3547.37,22,6,41.29
93.24,37.45,31.34,2.94,4868.18,63,12,57.24
27.62,42.22,36.87,1.38,7886.29,31,15,48.32
19.85,37.33,69.72,3.59,5053.84,52,5,54.65
72.11,31.04,39.23,2.0,4559.26,14,2,49.71
4.86,35.53,6.88,1.16,4874.66,96,14,39.33
21.41,22.75,96.48,4.63,3337.78,14,6,59.17
15.94,13.56,77.68,0.85,3297.8,3,10,40.31
57.79,1.32,43.73,1.42,4425.69,53,9,40.57
44.62,29.02,48.55,4.03,4737.72,45,12,59.41
60.35,61.8,36.37,3.77,5877.05,73,2,59.86
67.27,50.76,78.75,4.16,5924.43,25,4,66.25
53.11,25.86,54.22,3.52,5067.78,64,11,56.08
55.99,53.15,1.71,2.05,4944.99,7,0,53.76
54.45,14.84,59.27,3.43,7992.05,63,12,58.59
20.66,49.14,46.64,4.49,3949.24,44,1,57.81
83.79,40.67,98.42,4.71,3703.45,99,10,72.29
7.21,75.13,34.26,4.58,6042.79,49,7,59.83
54.42,64.56,98.73,2.0,6898.61,60,1,53.55
47.0,87.74,83.9,0.05,7359.64,14,14,58.22
24.65,22.96,40.48,2.72,7250.63,23,0,51.23
83.8,25.4,69.12,2.1,6357.13,65,11,56.1
62.54,49.04,96.28,2.94,5667.14,88,0,55.54
15.02,50.2,76.77,3.56,7036.88,96,3,54.9
52.73,24.68,17.37,2.44,4887.77,35,7,52.09
65.67,58.05,90.33,0.17,3934.15,94,5,42.79
91.94,16.36,12.1,4.72,3244.39,81,6,62.44
19.59,36.57,89.21,1.08,3611.33,5,3,42.8
22.52,73.79,95.34,1.54,7432.28,46,7,48.96
79.44,7.06,70.3,2.06,5415.21,24,8,53.86
99.08,2.54,49.98,4.79,5013.63,30,6,62.53
62.51,61.91,83.3,2.34,5335.03,49,8,59.05
85.21,28.59,6.1,0.86,3159.06,102,0,44.47
0.85,68.19,59.54,4.85,6152.46,13,14,58.38
18.35,75.73,70.59,0.01,3522.74,16,14,44.04
57.71,28.67,4.21,4.52,5755.59,19,15,61.08
65.34,22.34,74.8,2.38,6286.92,14,3,58.45
12.73,22.31,51.92,3.25,4751.1,54,6,50.5
75.85,5.72,38.83,3.17,3304.77,100,13,55.34
73.98,97.77,23.56,3.81,3352.68,64,14,63.26
71.04,86.21,92.46,3.49,6883.01,70,15,67.52
83.31,6.54,9.36,0.82,5038.16,90,14,43.85
77.94,42.17,70.36,1.07,3520.04,6,15,53.99
63.82,41.7,56.1,4.44,3984.49,22,11,64.61
57.5,76.56,0.4,3.03,5585.92,25,11,61.29
13.42,96.9,80.14,2.85,4821.35,104,1,52.86
8.84,80.22,92.65,3.95,5275.72,71,15,57.72
86.36,7.11,69.67,4.98,7313.1,28,10,71.65
